OrderNumber,Sales Channel,OrderDate,DeliveryDate,DeliveryTime,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Order Quantity,Unit Price,Unit Cost,Revenue,Gross Margin
SO - 000101,In-Store,2018-05-31,2018-06-19,19,6,15,259,12,5,1963.1000000000001,1001.181,9815.5,4809.594999999999
SO - 000102,Online,2018-05-31,2018-07-02,32,14,20,196,27,3,3939.6,3348.66,11818.8,1772.8199999999997
SO - 000103,Distributor,2018-05-31,2018-07-01,31,21,16,213,16,1,1775.5,781.22,1775.5,994.28
SO - 000104,Wholesale,2018-05-31,2018-06-07,7,28,48,107,23,8,2324.9,1464.6870000000001,18599.2,6881.704
SO - 000105,Distributor,2018-05-31,2018-06-26,26,22,49,111,26,8,1822.4,1476.1440000000002,14579.2,2770.047999999999
SO - 000106,Online,2018-05-31,2018-06-13,13,12,21,285,1,5,1038.5,446.555,5192.5,2959.725
SO - 000107,In-Store,2018-05-31,2018-06-14,14,10,14,6,5,4,1192.6000000000001,536.6700000000001,4770.400000000001,2623.7200000000003
SO - 000108,In-Store,2018-05-31,2018-07-01,31,6,9,280,46,5,1815.7,1525.1879999999999,9078.5,1452.5600000000004
SO - 000109,In-Store,2018-06-01,2018-06-21,20,4,9,299,47,4,3879.3,2211.201,15517.2,6672.396000000001
SO - 000110,In-Store,2018-06-01,2018-07-01,30,10,33,261,13,8,1956.4,1212.968,15651.2,5947.456
SO - 000111,Distributor,2018-06-01,2018-06-20,19,23,21,17,38,6,201.0,124.62,1206.0,458.28
SO - 000112,In-Store,2018-06-01,2018-06-17,16,10,21,152,40,5,6277.900000000001,2762.2760000000003,31389.500000000004,17578.120000000003
SO - 000113,In-Store,2018-06-01,2018-07-02,31,4,36,317,39,5,1051.9,641.659,5259.5,2051.205
SO - 000114,In-Store,2018-06-01,2018-06-15,14,8,17,291,32,6,254.6,216.41,1527.6,229.13999999999987
SO - 000115,In-Store,2018-06-01,2018-06-20,19,9,32,138,6,6,3932.9,3146.32,23597.4,4719.48
